,District,Population,Population_Density,Taluks,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
14,Mayiladuthurai,918356,784,"['Kuthalam', 'Mayiladuthurai', 'Sirkazhi', 'Tharangambadi']",11.155182199999999,79.62739425974078,4,ATM,History Museum,Concert Hall,Convenience Store,Cosmetics Shop,Costume Shop,Cricket Ground,Cupcake Shop,Department Store,Dessert Shop
20,Ramanathapuram,1353445,331,"['Kadaladi', 'Kamuthi', 'Kilakarai', 'Mudukulathur', 'Paramakudi', 'Raja', 'Singa', 'Mangalam', 'Ramanathapuram', 'Rameswaram', 'Tiruvadanai']",9.8437068,79.0739672,4,ATM,Restaurant,Electronics Store,Concert Hall,Convenience Store,Cosmetics Shop,Costume Shop,Cricket Ground,Cupcake Shop,Department Store
24,Tenkasi,1407627,483,"['Alangulam', 'Kadayanallur', 'Sankarankoil', 'Shenkottai', 'Sivagiri', 'Tenkasi', 'Thiruvengadam', 'Veerakeralampudur']",9.031895800000001,77.36536124793122,4,ATM,Indian Restaurant,Café,Fast Food Restaurant,Convenience Store,Cosmetics Shop,Costume Shop,Cricket Ground,Cupcake Shop,Department Store
30,Tirupattur,1111812,618,"['Ambur', 'Natrampalli', 'Tirupattur', 'Vaniyambadi']",12.490898,78.564709,4,ATM,Train Station,Fast Food Restaurant,Concert Hall,Convenience Store,Cosmetics Shop,Costume Shop,Cricket Ground,Cupcake Shop,Department Store
