,District,Population,Population_Density,Taluks,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
5,Dharmapuri,1506843,335,"['Dharmapuri', 'Harur', 'Karimangalam', 'Nallampalli', 'Palacode', 'Pappireddipatti', 'Pennagaram']",12.09680475,78.19304301026716,0,Optical Shop,Indian Restaurant,Bank,Electronics Store,Concert Hall,Convenience Store,Cosmetics Shop,Costume Shop,Cricket Ground,Cupcake Shop
9,Kanchipuram,1166401,704,"['Kanchipuram', 'Kundrathur', 'Sriperumbudur', 'Uthiramerur', 'Walajabad']",12.836393,79.7053304,0,Indian Restaurant,Pizza Place,Café,Bus Station,Women's Store,Donut Shop,Convenience Store,Cosmetics Shop,Costume Shop,Cricket Ground
12,Krishnagiri,1879809,366,"['Anchetty', 'Bargur', 'Denkanikottai', 'Krishnagiri', 'Hosur', 'Pochampalli', 'Shoolagiri', 'Uthangarai']",12.5188835,78.2206536,0,Indian Restaurant,Café,Women's Store,Fast Food Restaurant,Convenience Store,Cosmetics Shop,Costume Shop,Cricket Ground,Cupcake Shop,Department Store
13,Madurai,3038252,812,"['Madurai-East', 'Madurai-North', 'Madurai-South', 'Madurai-West', 'Kallikudi', 'Melur', 'Peraiyur', 'Thirumangalam', 'Thirupparankundram', 'Usilampatti', 'Vadipatti']",9.9261153,78.1140983,0,Indian Restaurant,Hotel,Movie Theater,Shopping Mall,Ice Cream Shop,Cupcake Shop,Café,Bakery,Comfort Food Restaurant,Business Service
16,Namakkal,1726601,513,"['Kollimalai', 'Kumarapalayam', 'Mohanur', 'Namakkal', 'Paramathi-Velur', 'Rasipuram', 'Sendamangalam', 'Thiruchengode']",11.284224850000001,78.16615283668403,0,Coffee Shop,Indian Restaurant,Fast Food Restaurant,Convenience Store,Cosmetics Shop,Costume Shop,Cricket Ground,Cupcake Shop,Department Store,Dessert Shop
21,Ranipet,1210277,542,"['Arakkonam', 'Arcot', 'Kalavai', 'Nemili', 'Sholingur', 'Walajapet']",12.9272641,79.3330076,0,Indian Restaurant,Hotel,Asian Restaurant,Movie Theater,Women's Store,Fast Food Restaurant,Cosmetics Shop,Costume Shop,Cricket Ground,Cupcake Shop
22,Salem,3482056,669,"['Attur', 'Idappadi', 'Gangavalli', 'Kadyampatti', 'Mettur', 'Omalur', 'Pethanaickenpalayam', 'Salem', 'Salem', 'South', 'Salem', 'West', 'Sankagiri', 'Valapady', 'Yercaud']",11.6612012,78.1602498,0,Indian Restaurant,Ice Cream Shop,Multiplex,Bakery,Shopping Mall,Indie Movie Theater,Chinese Restaurant,Outdoors & Recreation,Pizza Place,Department Store
26,Theni,1245899,406,"['Andipatti', 'Bodniayakkanur', 'Theni', 'Periyakulam', 'Uthamapalayam']",9.969664300000002,77.47420048524822,0,Indian Restaurant,Bus Station,Waterfall,Fast Food Restaurant,Convenience Store,Cosmetics Shop,Costume Shop,Cricket Ground,Cupcake Shop,Department Store
29,Tirunelveli,1665253,433,"['Ambasamudram', 'Cheranmahadevi', 'Manur', 'Nanguneri', 'Palayamkottai', 'Radhapuram', 'Thisayanvilai', 'Tirunelveli']",8.7012203,77.5792694,0,Train Station,Indian Restaurant,Women's Store,Electronics Store,Concert Hall,Convenience Store,Cosmetics Shop,Costume Shop,Cricket Ground,Cupcake Shop
33,Tiruvannamalai,2464875,398,"['Aarani', 'Chengam', 'Chetpet', 'Cheyyar', 'Jamunamarathur', 'Kalasapakkam', 'Kilpennathur', 'Polur', 'Thandarampattu', 'Tiruvannamalai', 'Vandavasi', 'Vembakkam']",12.22721295,79.07015554906167,0,Vegetarian / Vegan Restaurant,Resort,Indian Restaurant,Café,Women's Store,Electronics Store,Convenience Store,Cosmetics Shop,Costume Shop,Cricket Ground
