,District,ATM,Accessories Store,African Restaurant,Arcade
10,Chennai,0,0,0,0
11,Chennai,0,0,0,0
12,Chennai,0,0,0,0
13,Chennai,0,0,0,0
14,Chennai,0,0,0,0
