,District,Code,Date_Of_Formation,Split_From,Area,Population,Population_Density,Taluks,Latitude,Longitude
24,Tenkasi,TS,22 November 2019,Tirunelveli,2916.13,1407627,483,"['Alankulam', 'Kadayam', 'Kadayanallur', 'Keelapavoor', 'Kuruvikulam', 'Melaneelithanallur', 'Sankarankovil', 'Shenkottai', 'Tenkasi', 'Vasudevanallur']",9.031895800000001,77.36536124793122
25,Thanjavur,TJ,1 November 1956,One of the original 13 districts,3396.57,2405890,708,"['Budalur', 'Kumbakonam', 'Orathanadu', 'Papanasam', 'Pattukkottai', 'Peravurani', 'Thanjavur', 'Thiruvaiyaru', 'Thiruvidaimarudur']",10.7860267,79.1381497
26,Theni,TH,25 July 1996,Madurai,3066.0,1245899,406,"['Andipatti', 'Bodniayakkanur', 'Theni', 'Periyakulam', 'Uthamapalayam']",9.969664300000002,77.47420048524822
27,Thoothukudi,TK,20 October 1986,Tirunelveli,4707.0,1750176,372,"['Eral', 'Ettayapuram', 'Kayathar', 'Kovilpatti', 'Ottapidaram', 'Sathankulam', 'Thiruvaikundam', 'Tiruchendur', 'Thoothukudi', 'Vilathikulam']",8.8052602,78.1452745
28,Tiruchirappalli,TC,1 November 1956,One of the original 13 districts,4407.0,2722290,618,"['Lalgudi', 'Manachanallur', 'Manapparai', 'Marungapuri', 'Musiri', 'Srirangam', 'Tiruchirappalli', 'West', 'Tiruchirappalli', 'East', 'Thiruverumbur', 'Thottiyam', 'Thuraiyur']",10.7992254,78.6811423
29,Tirunelveli,TI,1 November 1956,One of the original 13 districts,3842.37,1665253,433,"['Ambasamudram', 'Cheranmahadevi', 'Manur', 'Nanguneri', 'Palayamkottai', 'Radhapuram', 'Thisayanvilai', 'Tirunelveli']",8.7012203,77.5792694
30,Tirupattur,TU,28 November 2019,Vellore,1797.92,1111812,618,"['Ambur', 'Natrampalli', 'Tirupattur', 'Vaniyambadi']",12.490898,78.564709
31,Tiruppur,TP,22 February 2009,Coimbatore and Erode,5186.34,2479052,478,"['Avinashi', 'Dharapuram', 'Kangeyam', 'Madathukulam', 'Palladam', 'Tiruppur', 'North', 'Tiruppur', 'South', 'Udumalaipettai', 'Uthukuli']",11.1017815,77.345192
32,Tiruvallur,TL,1 July 1997,Chingleput,3424.0,3728104,1089,"['Avadi', 'Gummidipoondi', 'Pallipattu', 'Ponneri', 'Poonamallee', 'RK', 'Pet', 'Tiruttani', 'Tiruvallur', 'Uthukkottai']",13.1394221,79.9070839
33,Tiruvannamalai,TV,30 September 1989,North Arcot,6191.0,2464875,398,"['Aarani', 'Chengam', 'Chetpet', 'Cheyyar', 'Jamunamarathur', 'Kalasapakkam', 'Kilpennathur', 'Polur', 'Thandarampattu', 'Tiruvannamalai', 'Vandavasi', 'Vembakkam']",12.22721295,79.07015554906167
34,Tiruvarur,TR,18 October 1991,Thanjavur,2161.0,1264277,585,"['Koothanallur', 'Kudavasal', 'Mannargudi', 'Nannilam', 'Needamangalam', 'Thiruthiraipoondi', 'Tiruvarur', 'Valangaiman']",10.7745978,79.6279725
35,Vellore,VE,30 September 1989,North Arcot,2030.11,1614242,795,"['Anaicut', 'Gudiyatham', 'Pernambut', 'Katpadi', 'Kilvaithinankuppam', 'Vellore']",12.7948109,79.0006410968549
36,Viluppuram,VL,30 September 1993,South Arcot,3725.54,2093003,562,"['Gingee', 'Kandachipuram', 'Marakkanam', 'Melmalaianur', 'Tindivanam', 'Vanur', 'Vikravandi', 'Villupuram', 'Thiruvennainallur']",11.9137874,79.50789297942772
37,Virudhunagar,VR,15 March 1985,Ramanathapuram,4288.0,1942288,453,"['Aruppukkottai', 'Kariapatti', 'Rajapalayam', 'Sattur', 'Sivakasi', 'Srivilliputhur', 'Tiruchuli', 'Virudhunagar', 'Watrap', 'Vembakottai']",9.5208936,77.8784563961865
